n 100 e 521
d 69 83 68.30452497738054
r [54 69] [54 92] [92 97] [31 97] [31 79] [79 94] [83 94] 
p 13 49 13.501427929308953
p 18 39 66.84170514889666
p 97 99 33.619719119433256
p 6 82 62.55458127313666
p 33 92 2.2724192101395566
p 35 43 65.53903878242868
p 5 65 23.121247876333555
p 14 72 42.46863865349109
p 38 54 32.117307160163406
p 8 45 85.0143007477047
p 31 95 86.48992610546938
p 5 74 70.26831593022932
p 2 52 57.95603773390332
p 14 56 45.078059140800356
p 14 99 63.14781166434776
p 1 54 53.36554547561205
p 61 88 30.0416566365985
p 6 88 54.50470775605129
p 27 58 95.21673736634649
p 32 96 56.90968186780148
p 30 65 5.257983786685009
p 33 87 97.481025539963
p 4 57 73.8733514781281
p 47 64 1.6730532913927543
p 51 80 3.140868637570952
p 9 27 63.591120637411976
p 13 16 93.63084584418559
p 61 67 3.606244614967056
p 66 86 37.760957206240626
p 52 91 99.98280155903872
p 67 91 38.50243620721476
p 25 81 9.427439431788386
p 18 28 45.23241432634782
p 2 95 66.17437339038237
p 63 66 63.87560762477935
p 23 48 19.752153202249158
p 31 66 78.06467295813553
p 43 64 41.70820567754198
p 25 33 89.38553862912474
p 39 59 55.86759811545906
p 22 29 15.45507832050067
p 26 52 26.483772025364523
p 27 97 39.11402855698188
p 31 60 68.00630471236651
p 33 36 8.796447423044143
p 3 32 34.71213942754316
p 12 68 79.95187744101428
p 13 44 9.828421116723367
p 25 45 76.2704537241161
p 9 40 58.85074944192679
p 40 72 85.10586843429306
p 61 89 10.093474042676608
p 40 60 85.05870126897362
p 12 42 46.12904463993111
p 39 48 67.93761149438417
p 91 93 15.877367402993162
p 5 24 19.975472014339395
p 19 20 25.804565767772985
p 17 92 58.54148788386683
p 20 23 46.41648387897389
p 0 40 79.9677858539979
p 59 80 61.50236539946271
p 19 63 86.826950186134
p 32 95 22.180465038441028
p 16 89 42.05496691040911
p 19 98 65.67175528882669
p 6 13 36.85275465880082
p 40 50 44.84793532765903
p 82 90 37.01891739530327
p 15 78 49.71266542534772
p 70 74 60.980441569988024
p 9 82 63.152548193546565
p 30 71 86.81158019791913
p 74 96 52.19163455943778
p 89 91 93.9974080833036
p 36 75 53.3409858825649
p 45 65 13.574294074282736
p 24 87 58.608662642550364
p 37 65 27.908946436489693
p 7 99 7.658240608072728
p 12 24 19.377769179040577
p 6 85 19.045021276755495
p 4 54 5.8740052592974035
p 4 28 40.99394449322227
p 72 99 91.42078830997824
p 19 89 55.10962054557521
p 44 78 14.640247592933962
p 12 51 68.71927801985913
p 78 92 87.09323251490135
p 27 83 30.276724743528415
p 47 85 71.43180464610032
p 5 76 35.97135814179985
p 21 34 54.39775421689589
p 14 52 97.47929674913975
p 56 94 17.86940534583823
p 74 88 53.06811074940355
p 58 66 52.81264401516358
p 53 97 86.31654048898103
p 9 70 34.14443021535077
p 22 99 19.216893636782693
p 46 90 63.78416323114089
p 67 82 17.09763530522621
p 32 34 9.055295179641991
p 58 69 97.29837599641304
p 51 93 16.896245455572423
p 17 66 10.111436307804809
p 27 32 11.100040185545195
