n 50 e 133
d 22 14 93.72756740581131
r [7 22] [7 36] [26 36] [4 26] [4 11] [11 43] [14 43] 
p 0 39 69.11196487241169
p 5 20 85.33691675984764
p 17 40 73.17092436765394
p 16 31 13.013651182054533
p 13 17 11.247418755345278
p 7 23 52.9393865265191
p 1 36 77.14020550849327
p 5 22 81.52478190934694
p 33 38 22.080037239782293
p 8 28 27.800958113934833
p 8 17 24.585550747512663
p 28 39 57.52507030818841
p 38 43 68.66243485614862
p 2 39 5.372652315825103
p 1 48 62.73451351354526
p 7 20 78.5895010650011
p 11 38 52.321825870114544
p 15 29 33.33457636073463
p 9 10 34.24140231218916
p 4 40 25.956153510131543
p 26 36 16.15201051843569
p 2 44 17.65329412058981
p 7 22 12.463183064653387
p 9 41 73.81231304343521
p 29 36 55.60987792686124
p 13 27 58.48565828289492
p 6 48 25.018539735721493
p 11 31 7.2734416444531
p 2 33 19.012286768196066
p 35 36 6.629789227278548
p 13 22 38.99766351155048
p 24 49 69.80250427186753
p 44 48 94.27930789598084
p 15 25 24.376123244974725
p 3 4 15.63878402033017
p 4 26 10.898858646931384
p 31 48 66.12121145908189
p 2 42 86.32436839559355
p 10 43 73.33080497149216
p 25 43 97.2711420187134
p 7 12 57.392879833396876
p 15 41 65.90503766068186
p 7 25 90.69480340110297
p 29 41 49.40979651387236
p 17 29 21.652147424569122
p 26 45 31.816139355316317
p 31 45 95.63838274800192
p 14 29 32.80586708400858
p 8 38 72.50185507530921
p 10 15 69.45621442530592
p 16 23 43.23155400553899
p 16 45 72.54051186143346
p 19 23 66.7209174646312
p 27 46 98.59905266428207
p 11 43 9.588693688867993
p 14 43 5.221992270180123
p 11 28 39.7236549817555
p 22 37 83.05487299784322
p 23 38 77.05412538512476
p 40 45 55.50238922284324
p 2 13 95.4811541526058
p 27 33 11.198349121193056
p 48 49 19.32818244356308
p 9 42 69.83930599001448
p 28 47 14.044036360212178
p 7 24 94.07113546569137
p 8 26 48.840628435321136
p 3 33 96.62693905312494
p 7 16 87.08691085663116
p 19 35 23.8830340364482
p 3 5 23.883546916972755
p 18 44 12.945612910436079
p 2 15 98.74678250753011
p 3 17 46.236241653839734
p 8 23 21.19103945289436
p 8 37 14.881241414422897
p 15 43 83.2687306628278
p 30 45 73.44826416753597
p 5 27 10.994456546167635
p 10 17 42.06068647354901
p 11 39 79.44102281070576
p 37 48 46.66221629368905
p 13 19 61.3151593814862
p 23 26 13.625424810112987
p 35 47 1.1562059444862025
p 5 21 95.76697986829251
p 25 32 18.26553405651034
p 8 41 80.47511653882745
p 3 43 22.013419582661243
p 34 35 43.373423705041276
p 37 49 49.547921052032194
p 6 47 47.811719437790956
p 32 47 84.06075104599323
p 6 17 75.60588508316886
p 31 38 75.85606788219553
p 24 46 44.51190144450944
p 22 27 59.2941638527604
p 17 46 8.046097211342277
p 20 35 22.813052629566
p 12 30 45.08680528619857
p 18 43 3.5288089154299294
p 20 22 30.576990445919094
p 13 25 90.6706407890738
p 28 41 86.2382014411505
p 29 37 69.63987082930484
p 29 40 85.36149677643017
p 1 45 72.3544910149544
p 4 13 40.75835900668057
p 35 37 73.97654526673217
p 28 33 22.43569256536905
p 7 36 16.655166646182252
p 0 8 79.83056021448233
p 12 49 43.30512277991325
p 9 23 98.46931006587516
p 6 30 33.46708292605488
p 18 25 63.9045759079565
p 10 46 35.1263029326829
p 26 46 70.18392711260451
p 30 40 11.961743712903866
p 8 47 68.70218355228346
p 5 24 67.39371311476276
p 9 16 73.71345599481941
p 27 29 65.37901160235296
p 2 30 73.12753860291254
p 10 35 99.21991424653409
p 4 11 22.747662570560475
p 19 37 52.708988902202364
p 31 44 96.57095481136271
p 9 38 70.71558311327621
p 10 14 40.13953687529395
p 31 37 81.75817697967321
p 12 38 89.69015471453062
p 6 41 31.377682490657026
